0,6.000000,6.450230,1858,6.450519,1858,0.004475
1,69.000000,6.517854,1859,6.517631,1859,0.003418
2,48.000000,6.544992,1860,6.545483,1860,0.007509
3,71.000000,6.578997,1861,6.579433,1861,0.006619
4,3.000000,6.724707,1862,6.724470,1862,0.003520
5,51.000000,6.684871,9532,6.685012,9532,0.002107
6,40.000000,6.590565,9533,6.590834,9533,0.004079
7,26.000000,6.608692,9534,6.609254,9534,0.008504
8,79.000000,6.775703,9535,6.775697,9535,0.000096
9,55.000000,6.652067,28336,6.651369,28336,0.010503
10,29.000000,6.600485,28337,6.599763,28337,0.010938
11,43.000000,6.812643,26811,6.812878,26811,0.003449
12,94.000000,6.802817,26812,6.803359,26812,0.007969
13,28.000000,6.438562,28448,6.438859,28448,0.004614
14,9.000000,6.498573,28449,6.499023,28449,0.006934
15,89.000000,6.640533,28450,6.641425,28450,0.013426
16,84.000000,6.648763,28451,6.649613,28451,0.012784
17,41.000000,6.767267,28664,6.766307,28664,0.014180
18,28.000000,6.646193,28453,6.647137,28453,0.014216
19,6.000000,6.318917,28454,6.319975,28454,0.016749
20,90.000000,6.253515,28455,6.254275,28455,0.012163
21,11.000000,6.136946,28456,6.137501,28456,0.009039
22,16.000000,6.348213,28457,6.348674,28457,0.007264
23,79.000000,6.383267,28458,6.383362,28458,0.001493
24,32.000000,6.437424,19852,6.438863,19852,0.022348
25,8.000000,6.560491,28460,6.560924,28460,0.006599
26,29.000000,6.499399,28461,6.500146,28461,0.011498
27,92.000000,6.684067,19855,6.685595,19855,0.022855
28,92.000000,6.843322,5623,6.844679,5623,0.019820
29,72.000000,6.784202,5624,6.784878,5624,0.009971
30,91.000000,6.758819,5625,6.760211,5625,0.020578
31,38.000000,6.815868,25832,6.815683,25832,0.002716
32,25.000000,6.808342,25833,6.807696,25833,0.009483
33,28.000000,6.703835,25834,6.703605,25834,0.003435
34,45.000000,6.658304,19862,6.659218,19862,0.013724
35,41.000000,6.995534,25836,6.994477,25836,0.015120
36,33.000000,6.996511,25837,6.995874,25837,0.009109
37,53.000000,7.046927,2002,7.046544,2002,0.005437
38,88.000000,6.982959,19866,6.983570,19866,0.008743
39,98.000000,7.013937,19867,7.015286,19867,0.019228
40,21.000000,6.889757,25841,6.888487,25841,0.018438
41,95.000000,6.964334,25842,6.963399,25842,0.013435
42,29.000000,6.664314,6544,6.662188,6544,0.031915
43,46.000000,6.667611,4605,6.669192,4605,0.023715
44,70.000000,6.565624,4606,6.567259,4606,0.024889
45,39.000000,6.431657,4607,6.433729,4607,0.032212
46,10.000000,6.373085,4608,6.374731,4608,0.025816
47,98.000000,6.529156,4609,6.531370,4609,0.033895
48,14.000000,6.327643,1135,6.323710,1135,0.062191
49,94.000000,6.561458,1136,6.558759,1136,0.041148
50,70.000000,6.532072,1137,6.529214,1137,0.043770
51,59.000000,6.401446,1138,6.397798,1138,0.057020
52,58.000000,6.657497,1139,6.654414,1139,0.046332
53,76.000000,6.606327,1140,6.603155,1140,0.048043
